sym,date,open,high,low,close,volume,pct
a,2020-03-28,9433,9680,9199,9606,44782106,1.93
a,2020-03-29,9715,9715,9220,9335,33538112,-2.82
a,2020-03-30,9396,9396,9160,9289,36042126,-0.49
a,2020-04-04,9706,9706,9695,9706,136390916,4.49
a,2020-04-05,9890,10000,9700,9801,52558491,0.98
a,2020-04-06,9740,9750,9285,9430,29182546,-3.79
a,2020-04-07,9409,9700,9409,9506,34120659,0.81
a,2020-04-08,9780,9990,9580,9740,67418217,2.46
a,2020-04-11,10189,10260,9971,10000,78530377,2.67
a,2020-04-12,10200,10449,10120,10161,88762095,1.61
a,2020-04-13,10403,10403,9881,9971,44770749,-1.87
a,2020-04-14,9608,9900,9575,9633,34191383,-3.39
a,2020-04-15,9670,9901,9610,9699,55942092,0.69
a,2020-04-18,9950,10203,9720,10203,98839227,5.2
a,2020-04-19,10613,10613,10500,10613,306770303,4.02
a,2020-04-20,11143,11143,11143,11143,228922401,4.99
a,2020-04-21,11297,11700,11190,11700,511164575,5.0
a,2020-04-22,11700,12205,11521,12205,297790307,4.32
a,2020-04-25,12698,12698,12698,12698,88739520,4.04
a,2020-04-26,13332,13332,12958,13332,263122259,4.99
a,2020-04-27,13990,13990,13990,13990,151363076,4.94
a,2020-04-28,14689,14689,14689,14689,44533856,5.0
a,2020-05-03,15423,16194,15423,16194,101192548,10.25
a,2020-05-04,16997,16997,16220,16997,267751423,4.96
a,2020-05-05,17838,17838,16997,17838,443404036,4.95
a,2020-05-06,17880,18670,17880,18670,154595023,4.66
a,2020-05-09,19454,19454,19454,19454,66972851,4.2
a,2020-05-10,20426,20426,20426,20426,45379549,5.0
a,2020-05-11,21447,21447,21447,21447,9362803,5.0
a,2020-05-12,22519,22519,20375,20779,831604606,-3.11
a,2020-05-13,20750,22773,20605,20800,382522063,0.1
a,2020-05-16,20808,20808,20808,20808,15003582,0.04
a,2020-05-17,19768,19768,19768,19768,12775100,-5.0
a,2020-05-18,20000,20750,18780,19810,315948434,0.21
a,2020-05-19,19200,19295,18658,18658,66773072,-5.82
a,2020-05-20,17889,17889,17889,17889,11216753,-4.12
a,2020-05-23,16995,16995,16995,16995,12883025,-5.0
a,2020-05-26,16146,16440,16146,16146,152127727,-5.0
a,2020-05-27,15650,16968,15650,16968,118947620,5.09
a,2020-05-30,17538,17538,17538,17538,22137632,3.36
a,2020-05-31,17840,18414,16662,17000,152896002,-3.07
